±â°£,Dubai,Brent,WTI
08-Jan,87.23545455,91.91454545,92.92904762
08-Feb,90.16157895,94.353,94.96789474
08-Mar,96.8655,102.8665,105.42
08-Apr,103.6213636,110.5163636,112.4627273
08-May,119.498,124.9808696,125.7645455
08-Jun,127.8961905,133.7438095,134.0157143
08-Jul,131.3130435,134.5647826,133.4845455
08-Aug,112.9909524,115.2361905,116.6880952
08-Sep,96.30318182,100.785,103.7638095
08-Oct,67.64857143,73.68434783,76.72391304
08-Nov,49.8985,54.746,57.44105263
08-Dec,40.5225,43.05227273,42.04227273
09-Jan,44.12315789,45.70761905,41.9235
09-Feb,43.0915,43.8735,39.25842105
09-Mar,45.58090909,47.41727273,48.06181818
09-Apr,49.98571429,51.39190476,49.94952381
09-May,57.891,58.5852381,59.2125
09-Jun,69.355,69.27090909,69.69545455
09-Jul,64.96608696,65.75086957,64.29318182
09-Aug,71.365,73.05714286,71.13857143
09-Sep,67.66809524,68.14681818,69.46809524
09-Oct,73.17,73.93363636,75.82363636
09-Nov,77.6895,77.58285714,78.145
09-Dec,75.51318182,75.20909091,74.60318182
10-Jan,76.7455,77.013,78.40263158
10-Feb,73.59555556,74.79,76.45263158
10-Mar,77.34478261,79.93130435,81.29
10-Apr,83.6447619,85.75380952,84.5752381
10-May,76.8445,76.99761905,74.1175
10-Jun,74.04681818,75.65863636,75.40454545
10-Jul,72.60590909,75.35636364,76.38285714
10-Aug,74.17238095,77.115,76.66681818
10-Sep,75.20333333,78.41727273,75.54857143
10-Oct,80.2847619,83.53619048,81.9747619
10-Nov,83.583,86.15954545,84.3147619
10-Dec,88.94590909,92.25478261,89.23318182
11-Jan,92.5505,96.90714286,89.5785
11-Feb,100.2388889,104.032,89.74315789
11-Mar,108.5252174,114.6717391,102.9813043
11-Apr,115.7575,123.0905,110.0385
11-May,108.0365,114.5218182,101.3566667
11-Jun,107.5045455,113.9018182,96.28863636
11-Jul,110.15,116.7547619,97.3405
11-Aug,104.9980952,109.926087,86.34086957
11-Sep,105.7454545,109.905,85.61
11-Oct,103.5365,108.7866667,86.42809524
11-Nov,107.9128571,110.4913636,97.16285714
11-Dec,105.5095238,107.7228571,98.57571429
12-Jan,109.5157895,111.452381,100.3185
12-Feb,116.1809524,119.06,102.2625
12-Mar,122.4872727,124.5445455,106.205
12-Apr,117.3385,120.4865,103.346
12-May,107.3209091,110.2886957,94.71590909
12-Jun,94.38142857,95.92714286,82.4052381
12-Jul,99.085,102.7236364,87.93142857
12-Aug,108.5814286,112.6782609,94.16086957
12-Sep,111.194,113.034,94.55842105
12-Oct,108.9659091,111.52,89.57086957
12-Nov,107.2828571,109.5272727,86.73238095
12-Dec,106.3515,109.0927778,88.13111111
13-Jan,107.9304762,112.3231818,94.82857143
13-Feb,111.0955556,116.3194737,95.50333333
13-Mar,105.5585,109.542,92.957
13-Apr,101.6909091,103.425,92.06772727
13-May,100.3361905,103.1190476,94.6905
13-Jun,100.172,103.341,95.8005
13-Jul,103.5526087,107.4269565,104.6513636
13-Aug,107.0645,110.4490909,106.5386364
13-Sep,107.9347619,111.2547619,106.235
13-Oct,105.5772727,109.4404348,100.5526087
13-Nov,105.4942857,107.9038095,93.9315
13-Dec,107.4614286,110.7019048,97.89428571
14-Jan,104.0057143,107.1131818,94.85666667
14-Feb,104.9825,108.835,100.6752632
14-Mar,104.3557143,107.732,100.5090476
14-Apr,104.6328571,108.09,102.0347619
14-May,105.621,109.2390909,101.7947619
14-Jun,107.9314286,111.9671429,105.1466667
14-Jul,106.1322727,108.1852174,102.3918182
14-Aug,101.9409524,103.3957143,96.07619048
14-Sep,96.63863636,98.57,93.03428571
14-Oct,86.81636364,87.80545455,83.99045455
14-Nov,77.0915,79.64052632,75.89473684
14-Dec,60.23136364,63.26636364,59.28954545
15-Jan,45.7747619,49.75809524,47.3255
15-Feb,55.68833333,58.795,50.72473684
15-Mar,54.69363636,56.93863636,47.85409091
15-Apr,57.72047619,61.13571429,54.62809524
15-May,63.0205,65.60857143,59.372
15-Jun,60.83809524,63.75272727,59.82863636
15-Jul,55.61272727,56.76434783,50.93
15-Aug,47.75842105,48.20571429,42.88904762
15-Sep,45.766,48.53954545,45.4652381
15-Oct,45.825,49.29272727,46.28954545
15-Nov,41.605,45.93238095,42.923
15-Dec,34.91954545,38.90409091,37.32727273
16-Jan,26.8615,31.9255,31.77578947
16-Feb,28.86631579,33.52714286,30.6165
16-Mar,35.24454545,39.79,37.96090909
16-Apr,38.98904762,43.33952381,41.1247619
16-May,44.25666667,47.64681818,46.79666667
16-Jun,46.29681818,49.92727273,48.85318182
16-Jul,42.5285,46.5347619,44.7995
16-Aug,43.63863636,47.15913043,44.79913043
16-Sep,43.32571429,47.24045455,45.22571429
16-Oct,48.96904762,51.38761905,49.94
16-Nov,43.89954545,47.07863636,45.76428571
16-Dec,52.08190476,54.91619048,52.16571429
17-Jan,53.7065,55.44761905,52.6085
17-Feb,54.38578947,55.9915,53.46210526
17-Mar,51.20086957,52.53869565,49.67391304
17-Apr,52.29526316,53.81894737,51.11736842
17-May,50.72444444,51.39043478,48.53954545
17-Jun,46.4747619,47.55363636,45.19590909
17-Jul,47.57142857,49.14857143,46.675
17-Aug,50.22045455,51.87,48.05782609
17-Sep,53.6595,55.5147619,49.877
17-Oct,55.53714286,57.64909091,51.59454545
17-Nov,60.81818182,62.86590909,56.66285714
17-Dec,61.6095,64.092,57.947
18-Jan,66.20045455,69.07863636,63.65904762
18-Feb,62.72210526,65.7305,62.18368421
18-Mar,62.74380952,66.71952381,62.77190476
18-Apr,68.27142857,71.76238095,66.3252381
18-May,74.41,77.00652174,69.98318182
18-Jun,73.609,75.94142857,67.32285714
18-Jul,73.11545455,74.95181818,70.58190476
18-Aug,72.48571429,73.84173913,67.84521739
18-Sep,77.2345,79.1095,70.08473684
18-Oct,79.39304348,80.62956522,70.75782609
18-Nov,65.55952381,65.94909091,56.69333333
18-Dec,57.31611111,57.6745,48.983
19-Jan,59.08727273,60.24090909,51.55047619
19-Feb,64.58722222,64.4315,54.98052632
19-Mar,66.94190476,67.02761905,58.16809524
19-Apr,70.9447619,71.62857143,63.87095238
19-May,69.38380952,70.30304348,60.86545455
19-Jun,61.77631579,63.038,54.7065
19-Jul,63.27782609,64.21478261,57.54636364
19-Aug,59.126,59.50181818,54.84409091
19-Sep,61.13047619,62.28714286,56.967
19-Oct,59.385,59.63217391,54.00565217
19-Nov,61.9947619,62.70952381,57.07
19-Dec,64.90619048,65.17380952,59.8047619
20-Jan,64.31619048,63.67272727,57.52857143
20-Feb,54.229,55.4775,50.54210526
20-Mar,33.70590909,33.72909091,30.44545455
20-Apr,20.39428571,26.63142857,16.69904762
20-May,30.47,32.41190476,28.5275
20-Jun,40.79909091,40.77272727,38.31363636
20-Jul,43.29666667,43.22217391,40.76590909
20-Aug,43.998,45.02,42.38809524
20-Sep,41.51045455,41.87363636,39.62571429
20-Oct,40.67454545,41.52409091,39.55454545
20-Nov,43.41761905,43.98,41.3465
20-Dec,49.835,50.21818182,47.06818182
21-Jan,54.8185,55.3215,52.10210526
21-Feb,60.89421053,62.2815,59.06105263
21-Mar,64.43913043,65.70217391,62.3573913
21-Apr,62.92333333,65.32857143,61.70380952
21-May,66.34210526,68.30904762,65.157
21-Jun,71.60090909,73.40818182,71.35272727
21-Jul,72.92952381,74.29363636,72.43047619
21-Aug,69.5047619,70.51363636,67.71136364
21-Sep,72.62818182,74.87636364,71.5447619
21-Oct,81.61095238,83.74619048,81.22285714
21-Nov,80.3,80.84954545,78.65380952
21-Dec,73.20681818,74.80391304,71.69
22-Jan,83.47,85.57238095,82.979
22-Feb,92.36388889,94.1015,91.62894737
22-Mar,110.9321739,112.4630435,108.2621739
22-Apr,102.817,105.917,101.6405
