Date,Closing Price,,,,,
2022-04-24,102.79,,,,,
2022-04-17,103.43,,,,,
2022-04-10,104.82,,,,,
2022-04-03,99.72,,,,,
2022-03-27,101.85,,,,,
2022-03-20,112.1,,,,,
2022-03-13,108.99,,,,,
2022-03-06,112.59,,,,,
2022-02-27,114.95,,,,,
2022-02-20,91.93,,,,,
2022-02-13,90.9,,,,,
2022-02-06,91.79,,,,,
2022-01-30,91.06,,,,,
2022-01-23,83.36,,,,,
2022-01-16,83.29,,,,,
2022-01-09,82.27,,,,,
2022-01-02,79.53,,,,,
2021-12-26,73.19,,,,,
2021-12-19,72.99,,,,,
2021-12-12,72.43,,,,,
2021-12-05,73.19,,,,,
2021-11-28,68.91,,,,,
2021-11-21,80.08,,,,,
2021-11-14,80.33,,,,,
2021-11-07,81.48,,,,,
2021-10-31,80.94,,,,,
2021-10-24,81.58,,,,,
2021-10-17,81.61,,,,,
2021-10-10,81.51,,,,,
2021-10-03,79.76,,,,,
2021-09-26,76.77,,,,,
2021-09-19,72.45,,,,,
2021-09-12,71.92,,,,,
2021-09-05,70.7,,,,,
2021-08-29,70.64,,,,,
2021-08-22,69.44,,,,,
2021-08-15,67.6,,,,,
2021-08-08,70.05,,,,,
2021-08-01,69.74,,,,,
2021-07-25,72.9,,,,,
2021-07-18,72.87,,,,,
2021-07-11,72.92,,,,,
2021-07-04,73.72,,,,,
2021-06-27,74.23,,,,,
2021-06-20,71.65,,,,,
2021-06-13,71.07,,,,,
2021-06-06,70.61,,,,,
2021-05-30,70.03,,,,,
2021-05-23,66.28,,,,,
2021-05-16,65.73,,,,,
2021-05-09,66.33,,,,,
2021-05-02,66.15,,,,,
2021-04-25,62.89,,,,,
2021-04-18,62.8,,,,,
2021-04-11,63.42,,,,,
2021-04-04,61.19,,,,,
2021-03-28,63.27,,,,,
2021-03-21,64.43,,,,,
2021-03-14,64.57,,,,,
2021-03-07,66.5,,,,,
2021-02-28,66.89,,,,,
2021-02-21,60.85,,,,,
2021-02-14,60.2,,,,,
2021-02-07,60.23,,,,,
2021-01-31,58.4,,,,,
2021-01-24,54.76,,,,,
2021-01-17,54.76,,,,,
2021-01-10,54.53,,,,,
2021-01-03,55.06,,,,,
2020-12-27,49.81,,,,,
2020-12-20,49.84,,,,,
2020-12-13,50.34,,,,,
2020-12-06,49.22,,,,,
2020-11-29,48.35,,,,,
2020-11-22,43.44,,,,,
2020-11-15,42.84,,,,,
2020-11-08,41.87,,,,,
2020-11-01,39.28,,,,,
2020-10-25,40.66,,,,,
2020-10-18,41.14,,,,,
2020-10-11,41.48,,,,,
2020-10-04,41.48,,,,,
2020-09-27,38.48,,,,,
2020-09-20,41.6,,,,,
2020-09-13,42.01,,,,,
2020-09-06,40.24,,,,,
2020-08-30,42.61,,,,,
2020-08-23,43.94,,,,,
2020-08-16,43.69,,,,,
2020-08-09,43.39,,,,,
2020-08-02,43.33,,,,,
2020-07-26,42.54,,,,,
2020-07-19,43.28,,,,,
2020-07-12,43,,,,,
2020-07-05,43.4,,,,,
2020-06-28,43.2,,,,,
2020-06-21,40.81,,,,,
2020-06-14,41.07,,,,,
2020-06-07,39.5,,,,,
2020-05-31,41.32,,,,,
2020-05-24,30.51,,,,,
2020-05-17,30.34,,,,,
2020-05-10,29.8,,,,,
2020-05-03,28.54,,,,,
2020-04-26,25.3,,,,,
2020-04-19,20.45,,,,,
2020-04-12,22.23,,,,,
2020-04-05,23.26,,,,,
2020-03-29,29.39,,,,,
2020-03-22,33.91,,,,,
2020-03-15,34.05,,,,,
2020-03-08,36.96,,,,,
2020-03-01,45.71,,,,,
2020-02-23,54.22,,,,,
2020-02-16,55.27,,,,,
2020-02-09,55.34,,,,,
2020-02-02,54.08,,,,,
2020-01-26,64.29,,,,,
2020-01-19,64.64,,,,,
2020-01-12,65.75,,,,,
2020-01-05,66.07,,,,,
2019-12-29,67.83,,,,,
2019-12-22,64.82,,,,,
2019-12-15,64.63,,,,,
2019-12-08,64.12,,,,,
2019-12-01,63.43,,,,,
2019-11-24,61.97,,,,,
2019-11-17,61.9,,,,,
2019-11-10,61.94,,,,,
2019-11-03,61.28,,,,,
2019-10-27,60.54,,,,,
2019-10-20,59.52,,,,,
2019-10-13,58.96,,,,,
2019-10-06,59.72,,,,,
2019-09-29,58.11,,,,,
2019-09-22,61.09,,,,,
2019-09-15,61.51,,,,,
2019-09-08,58.58,,,,,
2019-09-01,59.3,,,,,
2019-08-25,59.11,,,,,
2019-08-18,59.06,,,,,
2019-08-11,58.35,,,,,
2019-08-04,58.31,,,,,
2019-07-28,60.56,,,,,
2019-07-21,63.17,,,,,
2019-07-14,62.59,,,,,
2019-07-07,64.44,,,,,
2019-06-30,62.53,,,,,
2019-06-23,61.73,,,,,
2019-06-16,61.81,,,,,
2019-06-09,60.57,,,,,
2019-06-02,61.26,,,,,
2019-05-26,69.38,,,,,
2019-05-19,69.43,,,,,
2019-05-12,71.01,,,,,
2019-05-05,69.9,,,,,
2019-04-28,70.64,,,,,
2019-04-21,70.96,,,,,
2019-04-14,70.37,,,,,
2019-04-07,69.98,,,,,
2019-03-31,69.73,,,,,
2019-03-24,66.93,,,,,
2019-03-17,66.9,,,,,
2019-03-10,66.87,,,,,
2019-03-03,66.02,,,,,
2019-02-24,65,,,,,
2019-02-17,64.92,,,,,
2019-02-10,64.68,,,,,
2019-02-03,62.16,,,,,
2019-01-27,62.62,,,,,
2019-01-20,59.23,,,,,
2019-01-13,59.52,,,,,
2019-01-06,58.38,,,,,
2018-12-30,55.47,,,,,
2018-12-23,57.32,,,,,
2018-12-16,57.48,,,,,
2018-12-09,59.35,,,,,
2018-12-02,60.2,,,,,
2018-11-25,65.56,,,,,
2018-11-18,65.35,,,,,
2018-11-11,67.6,,,,,
2018-11-04,69.82,,,,,
2018-10-28,71.54,,,,,
2018-10-21,79.45,,,,,
2018-10-14,80.08,,,,,
2018-10-07,80.37,,,,,
2018-09-30,82.71,,,,,
2018-09-23,77.25,,,,,
2018-09-16,76.48,,,,,
2018-09-09,76.13,,,,,
2018-09-02,75.04,,,,,
2018-08-26,72.49,,,,,
2018-08-19,72.39,,,,,
2018-08-12,71.07,,,,,
2018-08-05,71.71,,,,,
2018-07-29,71.89,,,,,
2018-07-22,73.14,,,,,
2018-07-15,72.59,,,,,
2018-07-08,73.82,,,,,
2018-07-01,74.25,,,,,
2018-06-24,73.59,,,,,
2018-06-17,73.3,,,,,
2018-06-10,72.79,,,,,
2018-06-03,74.3,,,,,
2018-05-27,74.11,,,,,
2018-05-20,74.45,,,,,
2018-05-13,74.45,,,,,
2018-05-06,73.48,,,,,
2018-04-29,71.78,,,,,
2018-04-22,68.28,,,,,
2018-04-15,68.29,,,,,
2018-04-08,67.8,,,,,
2018-04-01,64.65,,,,,
2018-03-25,62.73,,,,,
2018-03-18,62.84,,,,,
2018-03-11,61.96,,,,,
2018-03-04,61.69,,,,,
2018-02-25,60.91,,,,,
2018-02-18,62.75,,,,,
2018-02-11,62.28,,,,,
2018-02-04,61.22,,,,,
2018-01-28,65.74,,,,,
2018-01-21,66.32,,,,,
2018-01-14,65.82,,,,,
2018-01-07,66.36,,,,,
2017-12-31,64.94,,,,,
2017-12-24,61.6,,,,,
2017-12-17,61.15,,,,,
2017-12-10,60.7,,,,,
2017-12-03,60.84,,,,,
2017-11-26,61.23,,,,,
2017-11-19,60.92,,,,,
2017-11-12,60.82,,,,,
2017-11-05,61.3,,,,,
2017-10-29,60.15,,,,,
2017-10-22,55.55,,,,,
2017-10-15,55.27,,,,,
2017-10-08,55.04,,,,,
2017-10-01,53.95,,,,,
2017-09-24,53.67,,,,,
2017-09-17,53.6,,,,,
2017-09-10,53.28,,,,,
2017-09-03,52.24,,,,,
2017-08-27,51.49,,,,,
2017-08-20,50.3,,,,,
2017-08-13,50.45,,,,,
2017-08-06,50.63,,,,,
2017-07-30,51.1,,,,,
2017-07-23,47.56,,,,,
2017-07-16,47,,,,,
2017-07-09,47.23,,,,,
2017-07-02,45.88,,,,,
2017-06-25,46.47,,,,,
2017-06-18,46.19,,,,,
2017-06-11,46.73,,,,,
2017-06-04,47.38,,,,,
2017-05-28,48.76,,,,,
2017-05-21,50.59,,,,,
2017-05-14,50.87,,,,,
2017-05-07,49.5,,,,,
2017-04-30,48.34,,,,,
2017-04-23,52.29,,,,,
2017-04-16,52.32,,,,,
2017-04-09,53.73,,,,,
2017-04-02,53.25,,,,,
2017-03-26,51.2,,,,,
2017-03-19,51.02,,,,,
2017-03-12,51.38,,,,,
2017-03-05,51.37,,,,,
2017-02-26,54.35,,,,,
2017-02-19,54.38,,,,,
2017-02-12,54.22,,,,,
2017-02-05,54.59,,,,,
2017-01-29,55.09,,,,,
2017-01-22,53.76,,,,,
2017-01-15,53.74,,,,,
2017-01-08,53.72,,,,,
2017-01-01,54.82,,,,,
2016-12-25,52.1,,,,,
2016-12-18,51.96,,,,,
2016-12-11,52.01,,,,,
2016-12-04,51.31,,,,,
2016-11-27,51.03,,,,,
2016-11-20,43.95,,,,,
2016-11-13,43.48,,,,,
2016-11-06,42.45,,,,,
2016-10-30,42.55,,,,,
2016-10-23,49.03,,,,,
2016-10-16,49.25,,,,,
2016-10-09,49.37,,,,,
2016-10-02,49.07,,,,,
2016-09-25,43.4,,,,,
2016-09-18,43.14,,,,,
2016-09-11,42.93,,,,,
2016-09-04,44.11,,,,,
2016-08-28,43.17,,,,,
2016-08-21,43.84,,,,,
2016-08-14,44.45,,,,,
2016-08-07,42.52,,,,,
2016-07-31,40.72,,,,,
2016-07-24,42.51,,,,,
2016-07-17,42.77,,,,,
2016-07-10,43.67,,,,,
2016-07-03,43.14,,,,,
2016-06-26,45.77,,,,,
2016-06-19,46.16,,,,,
2016-06-12,46.14,,,,,
2016-06-05,46.96,,,,,
2016-05-29,46.03,,,,,
2016-05-22,44.31,,,,,
2016-05-15,44.28,,,,,
2016-05-08,43.7,,,,,
2016-05-01,42.28,,,,,
2016-04-24,39.03,,,,,
2016-04-17,38.76,,,,,
2016-04-10,38.04,,,,,
2016-04-03,37.14,,,,,
2016-03-27,34.74,,,,,
2016-03-20,35.23,,,,,
2016-03-13,35.56,,,,,
2016-03-06,34.99,,,,,
2016-02-28,33.65,,,,,
2016-02-21,29.36,,,,,
2016-02-14,29.18,,,,,
2016-02-07,28.94,,,,,
2016-01-31,30.07,,,,,
2016-01-24,26.81,,,,,
2016-01-17,26.72,,,,,
2016-01-10,26.35,,,,,
2016-01-03,29.16,,,,,
2015-12-27,34.59,,,,,
2015-12-20,34.73,,,,,
2015-12-13,34.59,,,,,
2015-12-06,35.43,,,,,
2015-11-29,38.93,,,,,
2015-11-22,41.7,,,,,
2015-11-15,41.78,,,,,
2015-11-08,42.11,,,,,
2015-11-01,44.4,,,,,
2015-10-25,45.84,,,,,
2015-10-18,45.9,,,,,
2015-10-11,47.14,,,,,
2015-10-04,48.77,,,,,
2015-09-27,45.34,,,,,
2015-09-20,45.48,,,,,
2015-09-13,45.14,,,,,
2015-09-06,46.52,,,,,
2015-08-30,47.58,,,,,
2015-08-23,47.75,,,,,
2015-08-16,47.69,,,,,
2015-08-09,49.6,,,,,
2015-08-02,49.76,,,,,
2015-07-26,56.17,,,,,
2015-07-19,56.26,,,,,
2015-07-12,56.96,,,,,
2015-07-05,58.4,,,,,
2015-06-28,61.15,,,,,
2015-06-21,61.91,,,,,
2015-06-14,61.55,,,,,
2015-06-07,62.43,,,,,
2015-05-31,61.65,,,,,
2015-05-24,63.56,,,,,
2015-05-17,63.69,,,,,
2015-05-10,64.58,,,,,
2015-05-03,63.97,,,,,
2015-04-26,64.24,,,,,
2015-04-19,58.44,,,,,
2015-04-12,58.43,,,,,
2015-04-05,55.99,,,,,
2015-03-29,54.83,,,,,
2015-03-22,54.69,,,,,
2015-03-15,54.32,,,,,
2015-03-08,54.36,,,,,
2015-03-01,57.41,,,,,
2015-02-22,55.44,,,,,
2015-02-15,56.22,,,,,
2015-02-08,55.85,,,,,
2015-02-01,54.48,,,,,
2015-01-25,45.57,,,,,
2015-01-18,45.52,,,,,
2015-01-11,46.12,,,,,
2015-01-04,47.71,,,,,
2014-12-28,53.7,,,,,
2014-12-21,60.41,,,,,
2014-12-14,60.61,,,,,
2014-12-07,61.58,,,,,
2014-11-30,66.2,,,,,
2014-11-23,76.33,,,,,
2014-11-16,77.03,,,,,
2014-11-09,76.85,,,,,
2014-11-02,80.19,,,,,
2014-10-26,86.63,,,,,
2014-10-19,86.61,,,,,
2014-10-12,87.13,,,,,
2014-10-05,89.65,,,,,
2014-09-28,91.36,,,,,
2014-09-21,96.5,,,,,
2014-09-14,96.93,,,,,
2014-09-07,97.01,,,,,
2014-08-31,98.81,,,,,
2014-08-24,101.73,,,,,
2014-08-17,101.57,,,,,
2014-08-10,102.44,,,,,
2014-08-03,103.61,,,,,
2014-07-27,103.44,,,,,
2014-07-20,106.41,,,,,
2014-07-13,105.97,,,,,
2014-07-06,105.79,,,,,
2014-06-29,105.2,,,,,
2014-06-22,104,,,,,
2014-06-15,104,,,,,
2014-06-08,104,,,,,
2014-06-01,104,,,,,
2014-05-25,104,,,,,
2014-05-18,104,,,,,
2014-05-11,104,,,,,
2014-05-04,104,,,,,
2014-04-27,104,,,,,
